Eigenschap,Label,URI,akkoord,voorstel
"access rights",toegangsrechten,http://purl.org/dc/terms/accessRights,,
"applicable legislation",toepasbare wetgeving,http://data.europa.eu/r5r/applicableLegislation,,
"conforms to",voldoet aan,http://purl.org/dc/terms/conformsTo,,
"contact point",contactpunt,http://www.w3.org/ns/dcat#contactPoint,,
creator,vervaardiger,http://purl.org/dc/terms/creator,,
"description",beschrijving,http://purl.org/dc/terms/description,,
"documentation",documentatie,http://xmlns.com/foaf/0.1/page,,
"endpoint description",endpointbeschrijving,http://www.w3.org/ns/dcat#endpointDescription,,
"endpoint URL",endpoint-URL,http://www.w3.org/ns/dcat#endpointURL,,
format,formaat,http://purl.org/dc/terms/format,,
"HVD Category",HVD-categorie,http://data.europa.eu/r5r/hvdCategory,,
identifier,identificator,http://purl.org/dc/terms/identifier,,
keyword,trefwoord,http://www.w3.org/ns/dcat#keyword,,
"landing page",landingspagina,http://www.w3.org/ns/dcat#landingPage,,
language,taal,http://purl.org/dc/terms/language,,
licence,licentie,http://purl.org/dc/terms/license,,
"modification date",gewijzigd,http://purl.org/dc/terms/modified,,
"other identifier",overige identificator,http://www.w3.org/ns/adms#identifier,,
publisher,uitgever,http://purl.org/dc/terms/publisher,,
rights,rechten,http://purl.org/dc/terms/rights,,
"serves dataset",bedient dataset,http://www.w3.org/ns/dcat#servesDataset,,
theme,thema,http://www.w3.org/ns/dcat#theme,,
title,titel,http://purl.org/dc/terms/title,,
