Eigenschap,Label,URI,akkoord,voorstel
"access rights",toegangsrechten,http://purl.org/dc/terms/accessRights,,
"applicable legislation",toepasselijke wetgeving,http://data.europa.eu/r5r/applicableLegislation,,
"conforms to",voldoet aan,http://purl.org/dc/terms/conformsTo,,
"contact point",contactpunt,http://www.w3.org/ns/dcat#contactPoint,,
creator,vervaardiger,http://purl.org/dc/terms/creator,,
"dataset distribution",distributie,http://www.w3.org/ns/dcat#distribution,,
"description",beschrijving,http://purl.org/dc/terms/description,,
"documentation",documentatie,http://xmlns.com/foaf/0.1/page,,
"frequency",verversingsinterval,http://purl.org/dc/terms/accrualPeriodicity,,
"geographical coverage",ruimtelijke dekking,http://purl.org/dc/terms/spatial,,
"has version",heeft versie,http://www.w3.org/ns/dcat#hasVersion,,
"HVD Category",HVD-categorie,http://data.europa.eu/r5r/hvdCategory,,
identifier,identificator,http://purl.org/dc/terms/identifier,,
"in series",in serie,http://www.w3.org/ns/dcat#inSeries,,
"is referenced by",wordt gerefereerd door,http://purl.org/dc/terms/isReferencedBy,,
keyword,trefwoord,http://www.w3.org/ns/dcat#keyword,,
"landing page",landingspagina,http://www.w3.org/ns/dcat#landingPage,,
language,taal,http://purl.org/dc/terms/language,,
"modification date",gewijzigd,http://purl.org/dc/terms/modified,,
"other identifier",Andere identificator,http://www.w3.org/ns/adms#identifier,,
provenance,herkomst,http://purl.org/dc/terms/provenance,,
publisher,uitgever,http://purl.org/dc/terms/publisher,,
"qualified attribution",gekwalificeerde toeschrijving,http://www.w3.org/ns/prov#qualifiedAttribution,,
"qualified relation",gekwalificeerde relatie,http://www.w3.org/ns/dcat#qualifiedRelation,,
"related resource",relatie,http://purl.org/dc/terms/relation,,
"release date",uitgegeven,http://purl.org/dc/terms/issued,,
sample,voorbeeld,http://www.w3.org/ns/adms#sample,,
source,bron,http://purl.org/dc/terms/source,,
"spatial resolution",ruimtelijke resolutie in meters,http://www.w3.org/ns/dcat#spatialResolutionInMeters,,
status,status,http://www.w3.org/ns/adms#status,,
"temporal coverage",tijddekking,http://purl.org/dc/terms/temporal,,
"temporal resolution",tijdresolutie,http://www.w3.org/ns/dcat#temporalResolution,,
theme,thema,http://www.w3.org/ns/dcat#theme,,
title,titel,http://purl.org/dc/terms/title,,
type,type,http://purl.org/dc/terms/type,,
version,versie,http://www.w3.org/ns/dcat#version,,
"version notes",versie notities,http://www.w3.org/ns/adms#versionNotes,,
"was generated by",werd gegenereerd door,http://www.w3.org/ns/prov#wasGeneratedBy,,
