Eigenschap,Label,URI,akkoord,voorstel
"access service",toegangsservice,http://www.w3.org/ns/dcat#accessService,,
"access URL",toegangs-URL,http://www.w3.org/ns/dcat#accessURL,,
"applicable legislation",toepasbare wetgeving,http://data.europa.eu/r5r/applicableLegislation,,
availability,beschikbaarheid,http://data.europa.eu/r5r/availability,,
"byte size",bytesize,http://www.w3.org/ns/dcat#byteSize,,
checksum,controlesom,http://spdx.org/rdf/terms#checksum,,
"compression format",compressieformaat,http://www.w3.org/ns/dcat#compressFormat,,
"description",beschrijving,http://purl.org/dc/terms/description,,
"documentation",documentatie,http://xmlns.com/foaf/0.1/page,,
"download URL",download-URL,http://www.w3.org/ns/dcat#downloadURL,,
format,formaat,http://purl.org/dc/terms/format,,
"has policy",heeft beleid,http://www.w3.org/ns/odrl/2/hasPolicy,,
language,taal,http://purl.org/dc/terms/language,,
licence,licentie,http://purl.org/dc/terms/license,,
"linked schemas",voldoet aan,http://purl.org/dc/terms/conformsTo,,
"media type",mediatype,http://www.w3.org/ns/dcat#mediaType,,
"modification date",gewijzigd,http://purl.org/dc/terms/modified,,
"packaging format",pakketformaat,http://www.w3.org/ns/dcat#packageFormat,,
"release date",uitgegeven,http://purl.org/dc/terms/issued,,
rights,rechten,http://purl.org/dc/terms/rights,,
"spatial resolution",ruimtelijke resolutie in meters,http://www.w3.org/ns/dcat#spatialResolutionInMeters,,
status,status,http://www.w3.org/ns/adms#status,,
"temporal resolution",tijdresolutie,http://www.w3.org/ns/dcat#temporalResolution,,
"title",titel,http://purl.org/dc/terms/title,,
